Image,Methods,PSNR_IR,EN,SF,SSIM_IR,CC_IR,DEV_IR
,,,,,,,
Image - 1,DWT,18.1939,6.7584,0.0305,0.8095,0.5738,0.0972
,STD,14.8202,6.4263,0.034,0.4763,0.555,0.1508
,Hybrid - 2,22.2727,6.4874,0.035,0.8612,0.8804,0.068371
,,,,,,,
Image - 2,DWT,21.0413,6.4437,0.043,0.575,0.7635,0.0743
,STD,12.6401,7.0835,0.0507,0.2986,0.3798,0.2071
,Hybrid - 2,19.5364,6.7766,0.0405,0.567,0.8528,0.080074
,,,,,,,
Image - 3,DWT,16.1605,6.5108,0.0356,0.7099,0.4487,0.1173
,STD,11.938,7.3254,0.0465,0.5061,-0.1768,0.1729
,Hybrid - 2,25.0376,6.5644,0.0355,0.8724,0.9369,0.022719
,,,,,,,
Image - 4,DWT,15.4611,6.7949,0.052,0.6182,0.1223,0.1359
,STD,11.1929,7.2854,0.0544,0.5333,-0.1799,0.2131
,Hybrid - 2,28.7277,6.2695,0.0311,0.917,0.9494,0.019182
